Country ,Amount of Gender Statistics ,iso3c
Afghanistan,No NSO site ,AFG
Aland,Has dedicated section on gender statistics,ALA
Albania,"No gender statistics, but has NSO site",ALB
Algeria,"No gender statistics, but has NSO site",DZA
American Samoa,No NSO site ,ASM
Andorra,Has dedicated section on gender statistics,AND
Angola,"No gender statistics, but has NSO site",AGO
Anguilla,"No gender statistics, but has NSO site",AIA
Antarctica,No NSO site ,ATA
Antigua and Barbuda,Has gender statistics only after searching the site - functional search bar,ATG
Argentina,Has dedicated section on gender statistics,ARG
Armenia,Has dedicated section on gender statistics,ARM
Aruba,Has dedicated section on gender statistics,ABW
Ashmore and Cartier Islands,No NSO site ,NULL
Australia,Has dedicated section on gender statistics,AUS
Austria,Has dedicated section on gender statistics,AUT
Azerbaijan,Has dedicated section on gender statistics,AZE
Bahrain,Has gender statistics only after searching the site - functional search bar,BHR
Bangladesh,Has dedicated section on gender statistics,BGD
Barbados,Has gender statistics only after searching the site - functional search bar,BRB
Belarus,Has gender statistics only after searching the site - functional search bar,BLR
Belgium,Has gender statistics only after searching the site - functional search bar,BEL
Belize,"No gender statistics, but has NSO site",BLZ
Benin,"No gender statistics, but has NSO site",BEN
Bermuda,"No gender statistics, but has NSO site",BMU
Bhutan,"No gender statistics, but has NSO site",BTN
Bolivia,Has dedicated section on gender statistics,BOL
Bosnia and Herzegovina,Has dedicated section on gender statistics,BIH
Botswana,Has dedicated section on gender statistics,BWA
Brazil,Has dedicated section on gender statistics,BRA
British Indian Ocean Territory,No NSO site ,IOT
British Virgin Islands,No NSO site ,VGB
Brunei,Has dedicated section on gender statistics,BRN
Bulgaria,Has gender statistics only after searching the site - functional search bar,BGR
Burkina Faso,"No gender statistics, but has NSO site",BFA
Burundi,"No gender statistics, but has NSO site",BDI
Cabo Verde,Has dedicated section on gender statistics,CPV
Cambodia,Has gender statistics only after searching the site - functional search bar,KHM
Cameroon,"No gender statistics, but has NSO site",CMR
Canada,Has dedicated section on gender statistics,CAN
Cayman Islands,"No gender statistics, but has NSO site",CYM
Central African Republic,"No gender statistics, but has NSO site",CAF
Chad,"No gender statistics, but has NSO site",TCD
Chile,Has dedicated section on gender statistics,CHL
China,Has gender statistics only after searching the site - functional search bar,CHN
Colombia,Has dedicated section on gender statistics,COL
Comoros,No NSO site ,COM
Cook Islands,Has gender statistics only after searching the site - functional search bar,COK
Costa Rica,Has dedicated section on gender statistics,CRI
Croatia,Has gender statistics only after searching the site - functional search bar,HRV
Cuba,"No gender statistics, but has NSO site",CUB
Curaçao,"No gender statistics, but has NSO site",CUW
Cyprus,Has dedicated section on gender statistics,CYP
Czechia,Has dedicated section on gender statistics,CZE
Democratic Republic of the Congo,"No gender statistics, but has NSO site",COD
Denmark,Has gender statistics only after searching the site - functional search bar,DNK
Djibouti,"No gender statistics, but has NSO site",DJI
Dominica,No NSO site ,DMA
Dominican Republic,Has dedicated section on gender statistics,DOM
East Timor,"No gender statistics, but has NSO site",TLS
Ecuador,"No gender statistics, but has NSO site",ECU
Egypt,Has gender statistics only after searching the site -  nonfunctional search bar,EGY
El Salvador,Has dedicated section on gender statistics,SLV
Equatorial Guinea,"No gender statistics, but has NSO site",GNQ
Eritrea,No NSO site ,ERI
Estonia,Has dedicated section on gender statistics,EST
eSwatini,No NSO site ,SWZ
Ethiopia,Has dedicated section on gender statistics,ETH
Falkland Islands,No NSO site ,FLK
Faroe Islands,Has gender statistics only after searching the site - functional search bar,FRO
Federated States of Micronesia,Has gender statistics only after searching the site - functional search bar,FSM
Fiji,Has gender statistics only after searching the site - functional search bar,FJI
Finland,Has dedicated section on gender statistics,FIN
France,Has dedicated section on gender statistics,FRA
French Polynesia,No NSO site ,PYF
French Southern and Antarctic Lands,No NSO site ,ATF
Gabon,Has gender statistics only after searching the site - functional search bar,GAB
Gambia,Has gender statistics only after searching the site - functional search bar,GMB
Georgia,Has dedicated section on gender statistics,GEO
Germany,Has gender statistics only after searching the site - functional search bar,DEU
Ghana,Has dedicated section on gender statistics,GHA
Greece,Has gender statistics only after searching the site - functional search bar,GRC
Greenland,Has gender statistics only after searching the site - functional search bar,GRL
Grenada,No NSO site ,GRD
Guam,No NSO site ,GUM
Guatemala,Has dedicated section on gender statistics,GTM
Guernsey,No NSO site ,GGY
Guinea,Has gender statistics only after searching the site -  nonfunctional search bar,GIN
Guinea-Bissau,"No gender statistics, but has NSO site",GNB
Guyana,Has gender statistics only after searching the site - functional search bar,GUY
Haiti,"No gender statistics, but has NSO site",HTI
Heard Island and McDonald Islands,No NSO site ,HMD
Honduras,Has gender statistics only after searching the site - functional search bar,HND
Hong Kong S.A.R.,Has dedicated section on gender statistics,HKG
Hungary,Has gender statistics only after searching the site - functional search bar,HUN
Iceland,Has dedicated section on gender statistics,ISL
India,Has gender statistics only after searching the site -  nonfunctional search bar,IND
Indian Ocean Territories,No NSO site ,IOT
Indonesia,Has dedicated section on gender statistics,IDN
Iran,Has dedicated section on gender statistics,IRN
Iraq,Has dedicated section on gender statistics,IRQ
Ireland,Has dedicated section on gender statistics,IRL
Isle of Man,No NSO site ,IMN
Israel,Has gender statistics only after searching the site - functional search bar,ISR
Italy,Has gender statistics only after searching the site - functional search bar,ITA
Ivory Coast,"No gender statistics, but has NSO site",CIV
Jamaica,Has gender statistics only after searching the site - functional search bar,JAM
Japan,"No gender statistics, but has NSO site",JPN
Jersey,No NSO site ,JEY
Jordan,Has dedicated section on gender statistics,JOR
Kazakhstan,Has dedicated section on gender statistics,KAZ
Kenya,Has gender statistics only after searching the site - functional search bar,KEN
Kiribati,Has dedicated section on gender statistics,KIR
Kosovo,Has gender statistics only after searching the site - functional search bar,XKX
Kuwait,Has dedicated section on gender statistics,KWT
Kyrgyzstan,Has dedicated section on gender statistics,KGZ
Laos,"No gender statistics, but has NSO site",LAO
Latvia,Has gender statistics only after searching the site - functional search bar,LVA
Lebanon,Has dedicated section on gender statistics,LBN
Lesotho,"No gender statistics, but has NSO site",LSO
Liberia,Has gender statistics only after searching the site - functional search bar,LBR
Libya,No NSO site ,LBY
Liechtenstein,Has gender statistics only after searching the site - functional search bar,LIE
Lithuania,Has gender statistics only after searching the site - functional search bar,LTU
Luxembourg,Has gender statistics only after searching the site - functional search bar,LUX
Macao S.A.R,Has gender statistics only after searching the site - functional search bar,MAC
Madagascar,"No gender statistics, but has NSO site",MDG
Malawi,Has gender statistics only after searching the site - functional search bar,MWI
Malaysia,"No gender statistics, but has NSO site",MYS
Maldives,"No gender statistics, but has NSO site",MDV
Mali,"No gender statistics, but has NSO site",MLI
Malta,Has gender statistics only after searching the site - functional search bar,MLT
Marshall Islands,"No gender statistics, but has NSO site",MHL
Mauritania,"No gender statistics, but has NSO site",MRT
Mauritius,Has dedicated section on gender statistics,MUS
Mexico,Has dedicated section on gender statistics,MEX
Moldova,Has dedicated section on gender statistics,MDA
Monaco,Has dedicated section on gender statistics,MCO
Mongolia,Has gender statistics only after searching the site -  nonfunctional search bar,MNG
Montenegro,Has dedicated section on gender statistics,MNE
Montserrat,No NSO site ,MSR
Morocco,"No gender statistics, but has NSO site",MAR
Mozambique,"No gender statistics, but has NSO site",MOZ
Myanmar,"No gender statistics, but has NSO site",MMR
Namibia,Has gender statistics only after searching the site - functional search bar,NAM
Nauru,Has gender statistics only after searching the site - functional search bar,NRU
Nepal,"No gender statistics, but has NSO site",NPL
Netherlands,Has gender statistics only after searching the site - functional search bar,NLD
New Caledonia,No NSO site ,NCL
New Zealand,Has dedicated section on gender statistics,NZL
Nicaragua,Has gender statistics only after searching the site -  nonfunctional search bar,NIC
Niger,"No gender statistics, but has NSO site",NER
Nigeria,Has gender statistics only after searching the site - functional search bar,NGA
Niue,Has gender statistics only after searching the site - functional search bar,NIU
Norfolk Island,No NSO site ,NFK
North Korea,No NSO site ,PRK
North Macedonia,Has dedicated section on gender statistics,MKD
Northern Cyprus,No NSO site ,
Northern Mariana Islands,Has gender statistics only after searching the site -  nonfunctional search bar,MNP
Norway,Has gender statistics only after searching the site - functional search bar,NOR
Oman,"No gender statistics, but has NSO site",OMN
Pakistan,"No gender statistics, but has NSO site",PAK
Palau,"No gender statistics, but has NSO site",PLW
Palestine,Has gender statistics only after searching the site - functional search bar,PSE
Panama,Has gender statistics only after searching the site -  nonfunctional search bar,PAN
Papua New Guinea,Has gender statistics only after searching the site -  nonfunctional search bar,PNG
Paraguay,Has dedicated section on gender statistics,PRY
Peru,Has dedicated section on gender statistics,PER
Philippines,Has dedicated section on gender statistics,PHL
Pitcairn Islands,No NSO site ,PCN
Poland,Has gender statistics only after searching the site - functional search bar,POL
