COUNTRY,INDICATOR,NUTRIENTS,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
ISL,F11,NITROGEN,P1Y,TONNE,0,2004,9889,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2005,9775,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2006,12342,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2007,13832,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2008,15321,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2009,12000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2010,11000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2011,10000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2012,12000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2013,12000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2014,14000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2015,12000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2016,11000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2017,13000,NA
ISL,F11,NITROGEN,P1Y,TONNE,0,2018,12000,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2004,165352,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2005,167508,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2006,164120,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2007,124520,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2008,79200,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2009,121792,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2010,133540,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2011,123640,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2012,132000,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2013,151360,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2014,125356,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2015,141196,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2016,160644,NA
MEX,F11,PHOSPHORUS,P1Y,TONNE,0,2017,171820,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2004,3081564.411,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2005,3075017.159,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2006,2950835.801,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2007,2952549.945,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2008,3037499.441,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2009,3005460.881,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2010,2928440.075,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2011,2888014.004,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2012,2693091.118,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2013,2860714.738,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2014,3086531.565,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2015,3024732.853,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2016,2986764.406,NA
USA,C221,NITROGEN,P1Y,TONNE,0,2017,2958518.191,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2004,28.32,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2005,25.469,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2006,23.16,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2007,18.723,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2008,18.157,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2009,25.896,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2010,25.545,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2011,25.551,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2012,24.312,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2013,24.188,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2014,24.065,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2015,23.941,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2016,23.817,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2017,23.694,NA
NZL,C212,PHOSPHORUS,P1Y,TONNE,0,2018,23.694,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2004,176807.177,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2005,177472.176,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2006,178633.723,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2007,176308.128,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2008,170230.355,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2009,168450.372,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2010,166877.497,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2011,166715.68,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2012,163687.89,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2013,161500.745,NA
NZL,M1,PHOSPHORUS,P1Y,TONNE,0,2014,161131.187,NA
