LOCATION,SUBJECT,SEX,FREQUENCY,TIME_FORMAT,UNIT,POWERCODE,REFERENCEPERIOD,obsTime,obsValue,OBS_STATUS
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2004,9896,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2005,10020,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2006,10159,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2007,10354,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2008,10572,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2009,10801,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2010,10968,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2011,11118,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2012,11313,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2013,11512,NA
AUS,YP99TTL1_ST,MA,A,P1Y,PER,3,NA,2014,11693,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2004,2039,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2005,2044,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2006,2054,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2007,2076,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2008,2104,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2009,2134,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2010,2154,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2011,2172,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2012,2207,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2013,2244,NA
AUS,YP99P1L1_ST,MA,A,P1Y,PER,3,NA,2014,2270,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2004,6713,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2005,6803,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2006,6906,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2007,7039,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2008,7194,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2009,7350,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2010,7447,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2011,7526,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2012,7620,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2013,7721,NA
AUS,YP99P2L1_ST,MA,A,P1Y,PER,3,NA,2014,7815,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2004,1144,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2005,1172,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2006,1200,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2007,1238,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2008,1274,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2009,1318,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2010,1367,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2011,1420,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2012,1486,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2013,1547,NA
AUS,YP99P3L1_ST,MA,A,P1Y,PER,3,NA,2014,1607,NA
AUS,YP99P1PP_ST,MA,A,P1Y,PC,0,NA,2004,10.22927,NA
AUS,YP99P1PP_ST,MA,A,P1Y,PC,0,NA,2005,10.13035,NA
AUS,YP99P1PP_ST,MA,A,P1Y,PC,0,NA,2006,10.04352,NA
