LOCATION,VAR,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
AUS,BB-P100-TOT,P1Y,100HAB,0,2009,24.055
AUS,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,24.055
AUS,BB-P100-TOT,P1Y,100HAB,0,2010,25.041
AUS,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,24.254
AUS,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,25.041
AUS,BB-P100-TOT,P1Y,100HAB,0,2011,25.215
AUS,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,25.2
AUS,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,25.215
AUS,BB-P100-TOT,P1Y,100HAB,0,2012,25.883
AUS,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,25.671
AUS,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,25.883
AUS,BB-P100-TOT,P1Y,100HAB,0,2013,26.595
AUS,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,26.309
AUS,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,26.595
AUS,BB-P100-TOT,P1Y,100HAB,0,2014,27.842
AUS,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,27.438
AUS,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,27.842
AUS,BB-P100-TOT,P1Y,100HAB,0,2015,28.397
AUS,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,28.076
AUS,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,28.397
AUS,BB-P100-TOT,P1Y,100HAB,0,2016,30.483
AUS,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,30.093
AUS,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,30.483
AUS,BB-P100-TOT,P1Y,100HAB,0,2017,32.201
AUS,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,31.107
AUS,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,32.201
AUS,BB-P100-TOT,P1Y,100HAB,0,2018,33.719
AUS,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,33.16
AUS,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,33.719
AUS,BB-P100-TOT,P1Y,100HAB,0,2019,34.499
AUS,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,34.832
AUS,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,34.499
AUT,BB-P100-TOT,P1Y,100HAB,0,2009,21.499
AUT,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,21.499
AUT,BB-P100-TOT,P1Y,100HAB,0,2010,23.187
AUT,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,22.205
AUT,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,23.187
AUT,BB-P100-TOT,P1Y,100HAB,0,2011,24.456
AUT,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,23.891
AUT,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,24.456
AUT,BB-P100-TOT,P1Y,100HAB,0,2012,25.218
AUT,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,24.92
AUT,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,25.218
AUT,BB-P100-TOT,P1Y,100HAB,0,2013,26.308
AUT,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,25.803
AUT,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,26.308
AUT,BB-P100-TOT,P1Y,100HAB,0,2014,27.554
AUT,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,26.924
AUT,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,27.554
AUT,BB-P100-TOT,P1Y,100HAB,0,2015,28.459
AUT,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,28.082
AUT,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,28.459
AUT,BB-P100-TOT,P1Y,100HAB,0,2016,28.87
AUT,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,28.78
AUT,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,28.87
AUT,BB-P100-TOT,P1Y,100HAB,0,2017,28.551
AUT,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,28.772
AUT,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,28.551
AUT,BB-P100-TOT,P1Y,100HAB,0,2018,28.53
AUT,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,28.419
AUT,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,28.53
AUT,BB-P100-TOT,P1Y,100HAB,0,2019,28.389
AUT,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,28.448
AUT,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,28.389
