COUNTRY,ISC11A,SEX,AGE,PIAAC_CATEGORY,INDICATOR,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
AUS,T,T,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,56,NA
AUS,T,F,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,68,NA
AUS,T,M,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,58,NA
AUS,T,T,Y25T64,AL_FO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,5,NA
AUS,T,T,Y25T64,AL_NFO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,39,NA
AUS,T,T,Y25T64,AL_FNF,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,12,NA
AUS,T,T,Y25T64,AL_NO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,44,NA
AUS,T,T,Y25T64,AL_YC,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_YC_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,67,NA
AUS,T,T,Y25T64,AL_YC_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,65,NA
AUS,T,T,Y25T64,AL_YC_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,28,NA
AUS,T,T,Y25T64,AL_V_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,75,NA
AUS,T,T,Y25T64,AL_NV_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,62,NA
AUS,T,T,Y25T64,AL_V_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,64,NA
AUS,T,T,Y25T64,AL_NV_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,52,NA
AUS,T,T,Y25T64,AL_V_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,35,NA
AUS,T,T,Y25T64,AL_NV_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,17,NA
AUS,T,T,Y25T64,AL_V,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,67,NA
AUS,T,T,Y25T64,AL_NV,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,53,NA
AUS,T,T,Y25T64,AL_YC_V,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_YC_NV,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_V,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,77,NA
AUS,T,T,Y25T64,AL_NYC_NV,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,59,NA
AUS,T,T,Y25T64,_T,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.7,NA
AUS,T,F,Y25T64,_T,PIAAC_AL_FNFAET12,SE,P1Y,2012,2.1,NA
AUS,T,M,Y25T64,_T,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.7,NA
AUS,T,T,Y25T64,AL_FO,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.4,NA
AUS,T,T,Y25T64,AL_NFO,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.8,NA
AUS,T,T,Y25T64,AL_FNF,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.5,NA
AUS,T,T,Y25T64,AL_NO,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.7,NA
AUS,T,T,Y25T64,AL_YC,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_YC_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.6,NA
AUS,T,T,Y25T64,AL_YC_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,9.5,NA
AUS,T,T,Y25T64,AL_YC_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,3.9,NA
AUS,T,T,Y25T64,AL_V_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,2,NA
AUS,T,T,Y25T64,AL_NV_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.8,NA
AUS,T,T,Y25T64,AL_V_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,9.9,NA
AUS,T,T,Y25T64,AL_NV_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,5.2,NA
AUS,T,T,Y25T64,AL_V_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,4.1,NA
AUS,T,T,Y25T64,AL_NV_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.5,NA
AUS,T,T,Y25T64,AL_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,2.1,NA
AUS,T,T,Y25T64,AL_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.7,NA
AUS,T,T,Y25T64,AL_YC_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_YC_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUS,T,T,Y25T64,AL_NYC_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,2.8,NA
AUS,T,T,Y25T64,AL_NYC_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.5,NA
AUS,T,T,Y25T64,AL_BAR1,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,2,NA
AUS,T,T,Y25T64,AL_BAR2,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,18,NA
AUS,T,T,Y25T64,AL_BAR3,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,6,NA
AUS,T,T,Y25T64,AL_BAR4,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,27,NA
AUS,T,T,Y25T64,AL_BAR5,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,11,NA
AUS,T,T,Y25T64,AL_BAR6,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,21,NA
AUS,T,T,Y25T64,AL_BAR7,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,3,NA
AUS,T,T,Y25T64,AL_BAR8,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,12,NA
AUS,T,T,Y25T64,AL_BAR1,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.3,NA
AUS,T,T,Y25T64,AL_BAR2,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.5,NA
AUS,T,T,Y25T64,AL_BAR3,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.9,NA
AUS,T,T,Y25T64,AL_BAR4,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.2,NA
AUS,T,T,Y25T64,AL_BAR5,PIAAC_AL_BARRIERS,SE,P1Y,2012,1,NA
AUS,T,T,Y25T64,AL_BAR6,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.3,NA
AUS,T,T,Y25T64,AL_BAR7,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.5,NA
AUS,T,T,Y25T64,AL_BAR8,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.9,NA
AUS,T,T,Y25T64,AL_WILL1,PIAAC_AL_WILL,VALUE,P1Y,2012,17,NA
AUS,T,T,Y25T64,AL_WILL2,PIAAC_AL_WILL,VALUE,P1Y,2012,39,NA
AUS,T,T,Y25T64,AL_WILL3,PIAAC_AL_WILL,VALUE,P1Y,2012,8,NA
AUS,T,T,Y25T64,AL_WILL4,PIAAC_AL_WILL,VALUE,P1Y,2012,37,NA
AUS,T,T,Y25T64,AL_WILL1,PIAAC_AL_WILL,SE,P1Y,2012,0.6,NA
AUS,T,T,Y25T64,AL_WILL2,PIAAC_AL_WILL,SE,P1Y,2012,0.8,NA
AUS,T,T,Y25T64,AL_WILL3,PIAAC_AL_WILL,SE,P1Y,2012,0.5,NA
AUS,T,T,Y25T64,AL_WILL4,PIAAC_AL_WILL,SE,P1Y,2012,0.7,NA
AUT,T,T,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,48,NA
AUT,T,F,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,47,NA
AUT,T,M,Y25T64,_T,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,46,NA
AUT,T,T,Y25T64,AL_FO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,2,NA
AUT,T,T,Y25T64,AL_NFO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,42,NA
AUT,T,T,Y25T64,AL_FNF,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,4,NA
AUT,T,T,Y25T64,AL_NO,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,52,NA
AUT,T,T,Y25T64,AL_YC,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,52,NA
AUT,T,T,Y25T64,AL_YC_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,56,NA
AUT,T,T,Y25T64,AL_NYC_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,55,NA
AUT,T,T,Y25T64,AL_YC_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUT,T,T,Y25T64,AL_NYC_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,55,NA
AUT,T,T,Y25T64,AL_YC_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,30,NA
AUT,T,T,Y25T64,AL_NYC_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,19,NA
AUT,T,T,Y25T64,AL_V_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,64,NA
AUT,T,T,Y25T64,AL_NV_E,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,53,NA
AUT,T,T,Y25T64,AL_V_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,NA,c
AUT,T,T,Y25T64,AL_NV_U,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,48,NA
AUT,T,T,Y25T64,AL_V_I,PIAAC_AL_FNFAET12,VALUE,P1Y,2012,31,NA
