COU,SEX,IND,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
AUS,MALE,FAM18A,P1Y,NBR,0,2006,494.9
AUS,MALE,FAM18A,P1Y,NBR,0,2009,496.1
AUS,MALE,FAM18A,P1Y,NBR,0,2012,495.1
AUS,MALE,FAM18A,P1Y,NBR,0,2015,487.2
AUS,MALE,FAM18A,P1Y,NBR,0,2018,487.2
AUS,FEMALE,FAM18A,P1Y,NBR,0,2006,531.8
AUS,FEMALE,FAM18A,P1Y,NBR,0,2009,532.9
AUS,FEMALE,FAM18A,P1Y,NBR,0,2012,529.5
AUS,FEMALE,FAM18A,P1Y,NBR,0,2015,518.9
AUS,FEMALE,FAM18A,P1Y,NBR,0,2018,518.6
AUS,MALE,FAM18B,P1Y,NBR,0,2006,527
AUS,MALE,FAM18B,P1Y,NBR,0,2009,519.4
AUS,MALE,FAM18B,P1Y,NBR,0,2012,510.1
AUS,MALE,FAM18B,P1Y,NBR,0,2015,496.8
AUS,MALE,FAM18B,P1Y,NBR,0,2018,494.3
AUS,FEMALE,FAM18B,P1Y,NBR,0,2006,512.5
AUS,FEMALE,FAM18B,P1Y,NBR,0,2009,509.5
AUS,FEMALE,FAM18B,P1Y,NBR,0,2012,497.8
AUS,FEMALE,FAM18B,P1Y,NBR,0,2015,491
AUS,FEMALE,FAM18B,P1Y,NBR,0,2018,488.3
AUS,MALE,FAM18C,P1Y,NBR,0,2006,526.9
AUS,MALE,FAM18C,P1Y,NBR,0,2009,526.8
AUS,MALE,FAM18C,P1Y,NBR,0,2012,523.7
AUS,MALE,FAM18C,P1Y,NBR,0,2015,511
AUS,MALE,FAM18C,P1Y,NBR,0,2018,503.7
AUS,FEMALE,FAM18C,P1Y,NBR,0,2006,526.9
AUS,FEMALE,FAM18C,P1Y,NBR,0,2009,527.7
AUS,FEMALE,FAM18C,P1Y,NBR,0,2012,519.1
AUS,FEMALE,FAM18C,P1Y,NBR,0,2015,508.9
AUS,FEMALE,FAM18C,P1Y,NBR,0,2018,502.2
AUT,MALE,FAM18A,P1Y,NBR,0,2006,468.3
AUT,MALE,FAM18A,P1Y,NBR,0,2009,449.3
AUT,MALE,FAM18A,P1Y,NBR,0,2012,471.1
AUT,MALE,FAM18A,P1Y,NBR,0,2015,474.8
AUT,MALE,FAM18A,P1Y,NBR,0,2018,470.6
AUT,FEMALE,FAM18A,P1Y,NBR,0,2006,512.9
AUT,FEMALE,FAM18A,P1Y,NBR,0,2009,490.5
AUT,FEMALE,FAM18A,P1Y,NBR,0,2012,508
AUT,FEMALE,FAM18A,P1Y,NBR,0,2015,495.1
