COUNTRY,VARIABLE,MEASURE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
AUS,IFINP,NAT,P1Y,AUD,0,2014,1224246.21
AUS,IFINP,NAT,P1Y,AUD,0,2015,2722540.94
AUS,IFINP,NAT,P1Y,AUD,0,2016,1957000
AUS,IFINP,NAT,P1Y,AUD,0,2017,2650000
AUS,IFINP,NAT,P1Y,AUD,0,2018,8000
AUS,IFINP_VAR,NAT,P1Y,AUD,0,2014,1224246.21
AUS,IFINP_VAR,NAT,P1Y,AUD,0,2015,2722540.94
AUS,IFINP_VAR,NAT,P1Y,AUD,0,2016,1150000
AUS,IFINP_VAR,NAT,P1Y,AUD,0,2017,1150000
AUS,IFINP_VAR,NAT,P1Y,AUD,0,2018,4000
AUS,IFRPC,NAT,P1Y,AUD,0,2009,16456782
AUS,IFRPC,NAT,P1Y,AUD,0,2010,2566000
AUS,IFRPC,NAT,P1Y,AUD,0,2011,8264000
AUS,IFRPC,NAT,P1Y,AUD,0,2012,5388872
AUS,IFRPC,NAT,P1Y,AUD,0,2013,19953076
AUS,IFRPC,NAT,P1Y,AUD,0,2014,8300000
AUS,IFRPC,NAT,P1Y,AUD,0,2015,34960000
AUS,IFRPC,NAT,P1Y,AUD,0,2016,2247000
AUS,IFRPC,NAT,P1Y,AUD,0,2017,16172000
AUS,IFRPC,NAT,P1Y,AUD,0,2018,13326605
AUS,GSCOM,NAT,P1Y,AUD,0,2009,837232
AUS,GSCOM,NAT,P1Y,AUD,0,2010,867398
AUS,GSCOM,NAT,P1Y,AUD,0,2011,1158096
AUS,GSCOM,NAT,P1Y,AUD,0,2012,1326847
AUS,GSCOM,NAT,P1Y,AUD,0,2013,1700693
AUS,GSCOM,NAT,P1Y,AUD,0,2014,3907404
AUS,GSCOM,NAT,P1Y,AUD,0,2015,2931373
AUS,GSCOM,NAT,P1Y,AUD,0,2016,3109807
AUS,GSCOM,NAT,P1Y,AUD,0,2017,2781073
AUS,GSCOM,NAT,P1Y,AUD,0,2018,1640544
AUS,GSEDU,NAT,P1Y,AUD,0,2013,1000000
AUS,GSEDU,NAT,P1Y,AUD,0,2014,424500
AUS,GSEDU,NAT,P1Y,AUD,0,2015,820000
AUS,GSEDU,NAT,P1Y,AUD,0,2016,900000
AUS,GSEDU,NAT,P1Y,AUD,0,2017,9630000
AUS,GSEDU,NAT,P1Y,AUD,0,2018,1785677
AUS,GSRND,NAT,P1Y,AUD,0,2009,49934458
AUS,GSRND,NAT,P1Y,AUD,0,2010,43506313
AUS,GSRND,NAT,P1Y,AUD,0,2011,48286375
AUS,GSRND,NAT,P1Y,AUD,0,2012,47336768
AUS,GSRND,NAT,P1Y,AUD,0,2013,52882986
AUS,GSRND,NAT,P1Y,AUD,0,2014,61184861
AUS,GSRND,NAT,P1Y,AUD,0,2015,61887065
AUS,GSRND,NAT,P1Y,AUD,0,2016,64700989
AUS,GSRND,NAT,P1Y,AUD,0,2017,67696515
AUS,GSRND,NAT,P1Y,AUD,0,2018,62097361
AUS,GSMNG,NAT,P1Y,AUD,0,2009,64651647
AUS,GSMNG,NAT,P1Y,AUD,0,2010,67391145
AUS,GSMNG,NAT,P1Y,AUD,0,2011,65366546
AUS,GSMNG,NAT,P1Y,AUD,0,2012,87129628
AUS,GSMNG,NAT,P1Y,AUD,0,2013,103052584
AUS,GSMNG,NAT,P1Y,AUD,0,2014,100972027
AUS,GSMNG,NAT,P1Y,AUD,0,2015,100102708
AUS,GSMNG,NAT,P1Y,AUD,0,2016,99394878
