VAR,UNIT,COU,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
FOODTFAT,PROPERQT,AUS,P1Y,2004,134,NA
FOODTFAT,PROPERQT,AUS,P1Y,2005,137.3,NA
FOODTFAT,PROPERQT,AUS,P1Y,2006,143.4,NA
FOODTFAT,PROPERQT,AUS,P1Y,2007,143.9,NA
FOODTFAT,PROPERQT,AUS,P1Y,2008,141,NA
FOODTFAT,PROPERQT,AUS,P1Y,2009,143.6,NA
FOODTFAT,PROPERQT,AUS,P1Y,2010,145.9,NA
FOODTFAT,PROPERQT,AUS,P1Y,2011,148.6,NA
FOODTFAT,PROPERQT,AUS,P1Y,2012,152.4,NA
FOODTFAT,PROPERQT,AUS,P1Y,2013,150.9,NA
FOODTFAT,PROPERQT,AUS,P1Y,2014,152.8,B
FOODTFAT,PROPERQT,AUS,P1Y,2015,152.5,NA
FOODTFAT,PROPERQT,AUS,P1Y,2016,153.7,NA
FOODTFAT,PROPERQT,AUS,P1Y,2017,153.9,NA
FOODTFAT,PROPERQT,AUT,P1Y,2004,155.6,NA
FOODTFAT,PROPERQT,AUT,P1Y,2005,152.3,NA
FOODTFAT,PROPERQT,AUT,P1Y,2006,162.3,NA
FOODTFAT,PROPERQT,AUT,P1Y,2007,162.8,NA
FOODTFAT,PROPERQT,AUT,P1Y,2008,161.9,NA
FOODTFAT,PROPERQT,AUT,P1Y,2009,167.8,NA
FOODTFAT,PROPERQT,AUT,P1Y,2010,170.3,NA
FOODTFAT,PROPERQT,AUT,P1Y,2011,166.2,NA
FOODTFAT,PROPERQT,AUT,P1Y,2012,167.7,NA
FOODTFAT,PROPERQT,AUT,P1Y,2013,170.4,NA
FOODTFAT,PROPERQT,AUT,P1Y,2014,167.1,B
FOODTFAT,PROPERQT,AUT,P1Y,2015,167.6,NA
FOODTFAT,PROPERQT,AUT,P1Y,2016,166,NA
FOODTFAT,PROPERQT,AUT,P1Y,2017,166.7,NA
FOODTFAT,PROPERQT,BEL,P1Y,2004,160.8,NA
FOODTFAT,PROPERQT,BEL,P1Y,2005,163.3,NA
FOODTFAT,PROPERQT,BEL,P1Y,2006,163.6,NA
FOODTFAT,PROPERQT,BEL,P1Y,2007,165.2,NA
FOODTFAT,PROPERQT,BEL,P1Y,2008,162.4,NA
FOODTFAT,PROPERQT,BEL,P1Y,2009,159.4,NA
FOODTFAT,PROPERQT,BEL,P1Y,2010,161.3,NA
FOODTFAT,PROPERQT,BEL,P1Y,2011,167.7,NA
FOODTFAT,PROPERQT,BEL,P1Y,2012,161.6,NA
FOODTFAT,PROPERQT,BEL,P1Y,2013,162.3,NA
FOODTFAT,PROPERQT,BEL,P1Y,2014,156.6,B
FOODTFAT,PROPERQT,BEL,P1Y,2015,161.5,NA
FOODTFAT,PROPERQT,BEL,P1Y,2016,153.2,NA
FOODTFAT,PROPERQT,BEL,P1Y,2017,155.9,NA
FOODTFAT,PROPERQT,CAN,P1Y,2004,147.4,NA
FOODTFAT,PROPERQT,CAN,P1Y,2005,144.3,NA
FOODTFAT,PROPERQT,CAN,P1Y,2006,143.2,NA
FOODTFAT,PROPERQT,CAN,P1Y,2007,144.9,NA
FOODTFAT,PROPERQT,CAN,P1Y,2008,145.8,NA
FOODTFAT,PROPERQT,CAN,P1Y,2009,145.3,NA
FOODTFAT,PROPERQT,CAN,P1Y,2010,148.1,NA
FOODTFAT,PROPERQT,CAN,P1Y,2011,149.7,NA
FOODTFAT,PROPERQT,CAN,P1Y,2012,149,NA
FOODTFAT,PROPERQT,CAN,P1Y,2013,147.1,NA
FOODTFAT,PROPERQT,CAN,P1Y,2014,153.9,B
FOODTFAT,PROPERQT,CAN,P1Y,2015,156.7,NA
FOODTFAT,PROPERQT,CAN,P1Y,2016,153.1,NA
FOODTFAT,PROPERQT,CAN,P1Y,2017,153.2,NA
FOODTFAT,PROPERQT,CZE,P1Y,2004,116.8,NA
FOODTFAT,PROPERQT,CZE,P1Y,2005,128.1,NA
FOODTFAT,PROPERQT,CZE,P1Y,2006,137.7,NA
FOODTFAT,PROPERQT,CZE,P1Y,2007,134.3,NA
FOODTFAT,PROPERQT,CZE,P1Y,2008,137.7,NA
FOODTFAT,PROPERQT,CZE,P1Y,2009,136.2,NA
FOODTFAT,PROPERQT,CZE,P1Y,2010,137.7,NA
FOODTFAT,PROPERQT,CZE,P1Y,2011,133.3,NA
FOODTFAT,PROPERQT,CZE,P1Y,2012,137,NA
