COUNTRY,VARIABLE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2004,46841,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2005,51820,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2006,53343,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2007,55446,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2008,60671,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2009,66862,B
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2010,62912,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2011,63740,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2012,62583,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2013,60765,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2014,53294,B
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2015,44919,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2016,44447,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2017,45450,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2018,44291,NA
UKR,T-PASS-RD-BUS,P1Y,PKM,6,2019,43016,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2004,190183,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2005,200779,B
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2006,204339,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2007,205158,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2008,306660,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2009,310787,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2010,378863,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2011,363318,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2012,355200,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2013,359928,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2014,368516,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2015,378044,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2016,373919,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2017,381854,NA
KOR,T-PASS-RD-TOT,P1Y,PKM,6,2018,387268,NA
CAN,T-PASS-RD-BUS,P1Y,PKM,6,2004,20368,NA
CAN,T-PASS-RD-BUS,P1Y,PKM,6,2005,18736,NA
CAN,T-PASS-RD-BUS,P1Y,PKM,6,2006,17103,NA
CAN,T-PASS-RD-BUS,P1Y,PKM,6,2007,15471,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2004,3633,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2005,3753,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2006,3876,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2007,3987,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2008,4213,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2009,4152,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2010,4111,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2011,4143,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2012,3803,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2013,3649,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2014,3852,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2015,3957,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2016,4146,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2017,4391,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2018,4487,NA
PRT,T-PASS-RL-TOT,P1Y,PKM,6,2019,4964.014,NA
HRV,T-PASS-RD-TOT,P1Y,PKM,6,2004,3390,NA
HRV,T-PASS-RD-TOT,P1Y,PKM,6,2005,3403,NA
HRV,T-PASS-RD-TOT,P1Y,PKM,6,2006,3537,NA
