MSTI_VAR,COU,TIME_FORMAT,UNIT,POWERCODE,REFERENCEPERIOD,obsTime,obsValue,OBS_STATUS
G_PPP,AUS,P1Y,USD,6,NA,2004,11683.4523773613,NA
G_PPP,AUS,P1Y,USD,6,NA,2006,15511.5677609887,NA
G_PPP,AUS,P1Y,USD,6,NA,2008,19133.0011919887,NA
G_PPP,AUS,P1Y,USD,6,NA,2010,20572.1994201682,e
G_PPP,AUS,P1Y,USD,6,NA,2011,20978.1038296501,e
G_PPP,AUS,P1Y,USD,6,NA,2013,23129.6839436887,e
G_PPP,AUS,P1Y,USD,6,NA,2015,21151.5170249401,e
G_PPP,AUS,P1Y,USD,6,NA,2017,22555.2351337589,e
G_PPP,AUT,P1Y,USD,6,NA,2004,5973.02870124543,NA
G_PPP,AUT,P1Y,USD,6,NA,2005,6836.98904994036,e
G_PPP,AUT,P1Y,USD,6,NA,2006,7338.12372755902,NA
G_PPP,AUT,P1Y,USD,6,NA,2007,7902.38347552653,NA
G_PPP,AUT,P1Y,USD,6,NA,2008,8834.09620554849,e
G_PPP,AUT,P1Y,USD,6,NA,2009,8873.60949402289,NA
G_PPP,AUT,P1Y,USD,6,NA,2010,9584.33360942693,e
G_PPP,AUT,P1Y,USD,6,NA,2011,9955.00857454077,NA
G_PPP,AUT,P1Y,USD,6,NA,2012,11415.0640302717,e
G_PPP,AUT,P1Y,USD,6,NA,2013,12007.9090031309,NA
G_PPP,AUT,P1Y,USD,6,NA,2014,12863.3113547364,e
G_PPP,AUT,P1Y,USD,6,NA,2015,13146.9582799359,NA
G_PPP,AUT,P1Y,USD,6,NA,2016,14343.4762793935,e
G_PPP,AUT,P1Y,USD,6,NA,2017,14655.0058447673,NA
G_PPP,AUT,P1Y,USD,6,NA,2018,15785.5693218663,p
G_PPP,AUT,P1Y,USD,6,NA,2019,16700.4232791653,p
G_PPP,BEL,P1Y,USD,6,NA,2004,6077.40723251983,NA
G_PPP,BEL,P1Y,USD,6,NA,2005,6225.19426471135,NA
G_PPP,BEL,P1Y,USD,6,NA,2006,6770.64613134451,NA
G_PPP,BEL,P1Y,USD,6,NA,2007,7224.71035703943,NA
G_PPP,BEL,P1Y,USD,6,NA,2008,7858.32740186796,NA
G_PPP,BEL,P1Y,USD,6,NA,2009,8153.37609355173,NA
G_PPP,BEL,P1Y,USD,6,NA,2010,8956.19884562366,NA
G_PPP,BEL,P1Y,USD,6,NA,2011,9821.9620976553,NA
G_PPP,BEL,P1Y,USD,6,NA,2012,10714.9814399354,NA
G_PPP,BEL,P1Y,USD,6,NA,2013,11358.6444693558,NA
G_PPP,BEL,P1Y,USD,6,NA,2014,11935.8672730076,NA
G_PPP,BEL,P1Y,USD,6,NA,2015,12651.1691682353,NA
G_PPP,BEL,P1Y,USD,6,NA,2016,13894.2680171046,NA
G_PPP,BEL,P1Y,USD,6,NA,2017,15355.5478048242,NA
G_PPP,BEL,P1Y,USD,6,NA,2018,15991.7577472374,e
G_PPP,CAN,P1Y,USD,6,NA,2004,21634.0736509174,NA
G_PPP,CAN,P1Y,USD,6,NA,2005,23089.9664275036,NA
G_PPP,CAN,P1Y,USD,6,NA,2006,24116.2777690398,NA
G_PPP,CAN,P1Y,USD,6,NA,2007,24764.0304621257,NA
G_PPP,CAN,P1Y,USD,6,NA,2008,24911.8991387708,NA
G_PPP,CAN,P1Y,USD,6,NA,2009,25078.5400751762,NA
G_PPP,CAN,P1Y,USD,6,NA,2010,24897.8084353793,NA
G_PPP,CAN,P1Y,USD,6,NA,2011,25570.5349289612,NA
G_PPP,CAN,P1Y,USD,6,NA,2012,26019.4621977709,b
G_PPP,CAN,P1Y,USD,6,NA,2013,26504.0743786827,NA
G_PPP,CAN,P1Y,USD,6,NA,2014,27793.5422531976,b
G_PPP,CAN,P1Y,USD,6,NA,2015,27005.5171382895,NA
G_PPP,CAN,P1Y,USD,6,NA,2016,29014.7547336198,NA
G_PPP,CAN,P1Y,USD,6,NA,2017,29659.6139620788,NA
G_PPP,CAN,P1Y,USD,6,NA,2018,29003.3040434455,p
G_PPP,CAN,P1Y,USD,6,NA,2019,29771.7476977296,p
G_PPP,CZE,P1Y,USD,6,NA,2004,2429.70458802382,NA
G_PPP,CZE,P1Y,USD,6,NA,2005,2619.45161529014,NA
G_PPP,CZE,P1Y,USD,6,NA,2006,2998.08584066628,NA
G_PPP,CZE,P1Y,USD,6,NA,2007,3503.59098809055,NA
G_PPP,CZE,P1Y,USD,6,NA,2008,3583.60323800689,NA
G_PPP,CZE,P1Y,USD,6,NA,2009,3733.82889037432,NA
G_PPP,CZE,P1Y,USD,6,NA,2010,3877.19188972636,NA
G_PPP,CZE,P1Y,USD,6,NA,2011,4702.28320179074,NA
G_PPP,CZE,P1Y,USD,6,NA,2012,5441.56619828585,NA
G_PPP,CZE,P1Y,USD,6,NA,2013,6089.30288557972,NA
G_PPP,CZE,P1Y,USD,6,NA,2014,6699.44589854806,NA
G_PPP,CZE,P1Y,USD,6,NA,2015,6854.79342571741,NA
G_PPP,CZE,P1Y,USD,6,NA,2016,6369.18577198049,NA
G_PPP,CZE,P1Y,USD,6,NA,2017,7302.39220044627,NA
G_PPP,CZE,P1Y,USD,6,NA,2018,8286.91772024482,NA
G_PPP,DNK,P1Y,USD,6,NA,2004,4302.64007195764,NA
G_PPP,DNK,P1Y,USD,6,NA,2005,4429.52212018072,NA
G_PPP,DNK,P1Y,USD,6,NA,2006,4872.14533566456,NA
G_PPP,DNK,P1Y,USD,6,NA,2007,5353.01422739692,b
G_PPP,DNK,P1Y,USD,6,NA,2008,6289.29977307386,NA
G_PPP,DNK,P1Y,USD,6,NA,2009,6812.00680614951,NA
G_PPP,DNK,P1Y,USD,6,NA,2010,6963.8194084325,NA
G_PPP,DNK,P1Y,USD,6,NA,2011,7283.66101614858,NA
