LOCATION,SUBJECT,MEASURE,ACTIVITY,TIME_FORMAT,obsTime,obsValue
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2004,77.5
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2005,77.9
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2006,78.4
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2007,78.9
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2008,79.3
AUT,I3_LCOST,PCT,CTOTALX,P1Y,2009,79.3
AUT,I3_GVA,GRW,CTOTALX,P1Y,2004,2.6
AUT,I3_GVA,GRW,CTOTALX,P1Y,2005,2.6
AUT,I3_GVA,GRW,CTOTALX,P1Y,2006,4
AUT,I3_GVA,GRW,CTOTALX,P1Y,2007,4
AUT,I3_GVA,GRW,CTOTALX,P1Y,2008,2.5
AUT,I3_GVA,GRW,CTOTALX,P1Y,2009,-4.8
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2004,1.9
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2005,2.3
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2006,3.2
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2007,2.9
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2008,1
AUT,I3_GVAHRS,GRW,CTOTALX,P1Y,2009,-1.5
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2004,1.9
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2005,1.7
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2006,1.8
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2007,2.2
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2008,2.6
AUT,I3_TOTK,GRW,CTOTALX,P1Y,2009,1.2
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2004,0.7
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2005,0.4
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2006,0.8
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2007,1
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2008,1.5
AUT,I3_HRSTO,GRW,CTOTALX,P1Y,2009,-3.2
AUT,I3_MFP,GRW,CTOTALX,P1Y,2004,1.6
AUT,I3_MFP,GRW,CTOTALX,P1Y,2005,2
AUT,I3_MFP,GRW,CTOTALX,P1Y,2006,3
AUT,I3_MFP,GRW,CTOTALX,P1Y,2007,2.7
AUT,I3_MFP,GRW,CTOTALX,P1Y,2008,0.8
AUT,I3_MFP,GRW,CTOTALX,P1Y,2009,-2.4
BEL,I3_GVA,GRW,CTOTALX,P1Y,2004,2.8
BEL,I3_GVA,GRW,CTOTALX,P1Y,2005,1.9
BEL,I3_GVA,GRW,CTOTALX,P1Y,2006,2.6
BEL,I3_GVA,GRW,CTOTALX,P1Y,2007,3.1
BEL,I3_GVA,GRW,CTOTALX,P1Y,2008,1.1
BEL,I3_GVA,GRW,CTOTALX,P1Y,2009,-4
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2004,2.4
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2005,1.2
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2006,1.8
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2007,1.9
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2008,0.2
BEL,I3_GVAHRS,GRW,CTOTALX,P1Y,2009,-2.3
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2004,0.4
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2005,0.7
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2006,0.9
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2007,1.2
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2008,0.9
BEL,I3_HRSTO,GRW,CTOTALX,P1Y,2009,-1.7
CAN,I3_LCOST,PCT,CTOTALX,P1Y,2004,77.1
CAN,I3_LCOST,PCT,CTOTALX,P1Y,2005,77.9
CAN,I3_GVA,GRW,CTOTALX,P1Y,2004,3.1
CAN,I3_GVA,GRW,CTOTALX,P1Y,2005,2.8
CAN,I3_GVA,GRW,CTOTALX,P1Y,2006,2.8
CAN,I3_GVA,GRW,CTOTALX,P1Y,2007,2.5
CAN,I3_GVAHRS,GRW,CTOTALX,P1Y,2004,0.3
CAN,I3_GVAHRS,GRW,CTOTALX,P1Y,2005,2
CAN,I3_GVAHRS,GRW,CTOTALX,P1Y,2006,1
CAN,I3_GVAHRS,GRW,CTOTALX,P1Y,2007,0.5
CAN,I3_TOTK,GRW,CTOTALX,P1Y,2004,4.7
CAN,I3_TOTK,GRW,CTOTALX,P1Y,2005,5.7
CAN,I3_TOTK,GRW,CTOTALX,P1Y,2006,6.2
CAN,I3_TOTK,GRW,CTOTALX,P1Y,2007,5.5
CAN,I3_TOTK,GRW,CTOTALX,P1Y,2008,5.2
CAN,I3_HRSTO,GRW,CTOTALX,P1Y,2004,2.8
CAN,I3_HRSTO,GRW,CTOTALX,P1Y,2005,0.8
CAN,I3_HRSTO,GRW,CTOTALX,P1Y,2006,1.8
CAN,I3_HRSTO,GRW,CTOTALX,P1Y,2007,2
CAN,I3_HRSTO,GRW,CTOTALX,P1Y,2008,1
CAN,I3_MFP,GRW,CTOTALX,P1Y,2004,-0.1
CAN,I3_MFP,GRW,CTOTALX,P1Y,2005,1
CZE,I3_LCOST,PCT,CTOTALX,P1Y,2004,60.6
CZE,I3_LCOST,PCT,CTOTALX,P1Y,2005,62.7
CZE,I3_LCOST,PCT,CTOTALX,P1Y,2006,63.4
CZE,I3_LCOST,PCT,CTOTALX,P1Y,2007,63.9
CZE,I3_LCOST,PCT,CTOTALX,P1Y,2008,65.6
