COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
CAB,1_T000,PERCENTAGE,VAL,P1Y,2013,60.299999,NA
CAB,1_T000,PERCENTAGE,VAL,P1Y,2018,63.5,NA
CAB,1_T029,PERCENTAGE,VAL,P1Y,2013,21.4,NA
CAB,1_T029,PERCENTAGE,VAL,P1Y,2018,20.4,NA
CAB,2_T004,PERCENTAGE,VAL,P1Y,2013,43.099998,NA
CAB,2_T004,PERCENTAGE,VAL,P1Y,2018,29.700001,NA
CAB,2_T030,PERCENTAGE,VAL,P1Y,2013,8.3999996,NA
CAB,2_T030,PERCENTAGE,VAL,P1Y,2018,19.299999,NA
CAB,3_T022,PERCENTAGE,VAL,P1Y,2018,6.5,NA
CAB,3_T023,PERCENTAGE,VAL,P1Y,2018,12.9,NA
CAB,3_T024,PERCENTAGE,VAL,P1Y,2013,79,NA
CAB,3_T024,PERCENTAGE,VAL,P1Y,2018,80.599998,NA
CAB,3_T078,PERCENTAGE,VAL,P1Y,2018,31.799999,NA
CAB,3_T079,PERCENTAGE,VAL,P1Y,2018,76,NA
CAB,4_T072,PERCENTAGE,VAL,P1Y,2018,33,NA
CAB,4_T073,PERCENTAGE,VAL,P1Y,2018,16.799999,NA
CAB,5_T032,PERCENTAGE,VAL,P1Y,2018,79.599998,NA
CAB,5_T033,PERCENTAGE,VAL,P1Y,2018,55,NA
CAB,5_T034,PERCENTAGE,VAL,P1Y,2018,24.700001,NA
CAB,6_T035,PERCENTAGE,VAL,P1Y,2018,31.799999,NA
CAB,6_T092,PERCENTAGE,VAL,P1Y,2018,30,NA
CAB,6_T094,PERCENTAGE,VAL,P1Y,2018,17.1,NA
CAB,7_T012,PERCENTAGE,VAL,P1Y,2018,98.699997,NA
CAB,7_T105,PERCENTAGE,VAL,P1Y,2018,40.700001,NA
CAB,7_T106,PERCENTAGE,VAL,P1Y,2018,63.400002,NA
CAB,7_T107,PERCENTAGE,VAL,P1Y,2018,91.400002,NA
CAB,8_T031,PERCENTAGE,VAL,P1Y,2018,99.300003,NA
CAB,8_T036,PERCENTAGE,VAL,P1Y,2018,29.1,NA
CAB,9_T025,PERCENTAGE,VAL,P1Y,2018,82.199997,NA
CAB,9_T026,PERCENTAGE,VAL,P1Y,2018,87.199997,NA
CAB,10_T101,PERCENTAGE,VAL,P1Y,2018,67.599998,NA
CAB,10_T102,PERCENTAGE,VAL,P1Y,2018,98.800003,NA
CAB,10_T103,PERCENTAGE,VAL,P1Y,2018,94.699997,NA
CAB,11_T096,PERCENTAGE,VAL,P1Y,2018,97.699997,NA
CAB,11_T097,PERCENTAGE,VAL,P1Y,2018,12.5,NA
CAB,12_T053,PERCENTAGE,VAL,P1Y,2018,4.0999999,NA
CAB,12_T054,PERCENTAGE,VAL,P1Y,2018,26.299999,NA
CAB,12_T055,PERCENTAGE,VAL,P1Y,2018,87.300003,NA
CAB,12_T056,PERCENTAGE,VAL,P1Y,2018,56.400002,NA
CAB,12_T058,PERCENTAGE,VAL,P1Y,2018,87.199997,NA
CAB,13_T013,PERCENTAGE,VAL,P1Y,2013,9.3000002,NA
CAB,13_T013,PERCENTAGE,VAL,P1Y,2018,8.3999996,NA
CAB,13_T037,PERCENTAGE,VAL,P1Y,2018,12.1,NA
CAB,13_T038,PERCENTAGE,VAL,P1Y,2018,65.699997,NA
CAB,13_T039,PERCENTAGE,VAL,P1Y,2018,70.5,NA
CAB,13_T040,PERCENTAGE,VAL,P1Y,2018,42.099998,NA
CAB,14_T042,PERCENTAGE,VAL,P1Y,2018,66.599998,NA
CAB,14_T043,PERCENTAGE,VAL,P1Y,2013,3.8,NA
CAB,14_T043,PERCENTAGE,VAL,P1Y,2018,9.6000004,NA
CAB,14_T044,PERCENTAGE,VAL,P1Y,2018,44.599998,NA
CAB,14_T045,PERCENTAGE,VAL,P1Y,2018,62.799999,NA
CAB,14_T046,PERCENTAGE,VAL,P1Y,2018,38.400002,NA
CAB,15_T014,PERCENTAGE,VAL,P1Y,2013,8.6999998,NA
CAB,15_T014,PERCENTAGE,VAL,P1Y,2018,11.5,NA
CAB,15_T048,PERCENTAGE,VAL,P1Y,2018,13.6,NA
CAB,15_T049,PERCENTAGE,VAL,P1Y,2018,31.799999,NA
CAB,15_T050,PERCENTAGE,VAL,P1Y,2018,76.699997,NA
CAB,15_T051,PERCENTAGE,VAL,P1Y,2018,44.299999,NA
