iso3c,hyperlink,code,Indicator,PrimarySource,DetailedSource,Unit,Value,NormativeDirection,Distance(1),LowestValue,OECDAverageValue,HighestValue,Target,StandardDeviation,OECDAverageDistance,date,goal,description,Direction,Distance
AUS,http://dx.doi.org/10.1787/888933962873,1.1.1,Proportion of population below international poverty line (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,0.5,-1,0.8304330706596375,0,0.8353468775749207,2.5,0,0.6020954847335815,1.3873993158340454,2010,1,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,1.2.1,Relative income poverty rate,OECD,OECD IDD,Percent,12.1,-1,1.7381622791290283,5.400000095367432,14.32567024230957,17.799999237060547,5.449999809265137,3.8258798122406006,2.3199031352996826,2016,1,"Proportion of population living below the national poverty line, by sex and age",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,1.3.1,Share of the population living below the relative poverty threshold receiving minimum income benefits (proxy),OECD,OECD SOCR Database,Percent,21.041366969345503,1,2.6382226943969727,0,45.29982376098633,143.0860137939453,100,29.928720474243164,1.8276817798614502,2016,1,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,1.5.3,Countries with legislative and/or regulatory provisions been made for managing disaster risk (1 = YES; 0 = NO),UN,see https://unstats.un.org/sdgs/metadata/,Number,1,1,0,1,1,1,1,0,0,2015,1,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.1.1,Prevalence of undernourishment (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,2.5,-1,0,2.5,2.6862099170684814,4.199999809265137,2.5,0.3525305390357971,0.5282093286514282,2015,2,Prevalence of undernourishment,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.1.2,Prevalence of moderate or severe food insecurity in the adult population (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,10.7,-1,1.9763182401657104,2.200000047683716,10.409560203552246,29.399999618530273,0,5.414107799530029,1.922673225402832,2015,2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.2.2,Obesity rate,OECD,OECD Health Data,Percent,27.899999618530273,-1,3.3696448802948,4.199999809265137,24.833105087280273,40,0,8.279804229736328,2.9992382526397705,2014,2,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.5.1,Proportion of local breeds with genetic material stored (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,0,1,2.60945200920105,0,3.3821160793304443,38.0531005859375,31.11111068725586,11.922469139099121,2.3257761001586914,2018,2,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.5.2,Proportion of local breeds classified as known being not at risk (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,1.5873,1,1.9541120529174805,0,7.9385247230529785,66.66667175292969,26.923080444335938,12.965367317199707,1.4642512798309326,2018,2,Proportion of local breeds classified as being at risk of extinction,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.a.1,Agriculture orientation index for government expenditures,UN,see https://unstats.un.org/sdgs/metadata/,Index (no unit),0.2,0,NA,0,0.5776489973068237,5.389999866485596,NA,1.2973015308380127,NA,2016,2,The agriculture orientation index for government expenditures,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,2.a.2,Official development assistance plus other official flows to the agriculture sector,OECD,Creditor Reporting System Aid Activity (database),Millions USD,271.9740905761719,0,NA,0,1184.62109375,2411.47509765625,NA,570.4573974609375,NA,2017,2,Total official flows (official development assistance plus other official flows) to the agriculture sector,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.1.1,Maternal mortality ratio,OECD,OECD Health Statistics,Deaths per 100 000 live births,3.9,-1,0,0,10.127096176147461,36.70000076293945,70,10.671591758728027,0,2016,3,Maternal mortality ratio,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.1.2,Proportion of births attended by skilled health personnel (%),UN,see https://unstats.un.org/sdgs/metadata/,Percent,99.7,1,0.2504737079143524,94.4000015258789,98.84830474853516,100,100,1.197730541229248,0.9615645408630371,2015,3,Proportion of births attended by skilled health personnel,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.2.1,Infant mortality rate,OECD,OECD Health Statistics,Deaths per 1 000 live births,3.1,-1,0,0.699999988079071,5.194362640380859,12.100000381469727,15,2.183960199356079,0,2016,3,Under‑5 mortality rate,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.2.2,Neonatal mortality rate,OECD,OECD Health Statistics,Deaths per 1 000 live births,2.3,-1,0,0.5,3.408703565597534,7.5,12,1.4385398626327515,0,2016,3,Neonatal mortality rate,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.3.1,Incidence of AIDS,OECD,OECD Health Statistics,Incidence per 100 000 population,0.3,-1,0.13348448276519775,0.10000000149011612,2.656423568725586,8.399999618530273,0,2.2474522590637207,1.1819710731506348,2012,3,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.3.2,Death rate due to Tuberculosis,OECD,OECD Health Statistics,Deaths per 100 000 population (standardised rates),0.2,-1,0.13407409191131592,0.10000000149011612,0.9947301745414734,6,0,1.4917125701904297,0.6668376922607422,2015,3,"Tuberculosis incidence per 100,000 population",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.3.4,Hepatitis B incidence,OECD,OECD Health Statistics,Incidence per 100 000 population,0.6,-1,0.21429917216300964,0,1.2284753322601318,13.199999809265137,0,2.7998242378234863,0.43876874446868896,2017,3,"Hepatitis B incidence per 100,000 population",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.3.5,Number of people requiring interventions against neglected tropical diseases,UN,see https://unstats.un.org/sdgs/metadata/,Per 100 000 population,88.21172966420046,-1,0.06716159731149673,0,745.84716796875,7571.66357421875,0,1313.4251708984375,0.5678642392158508,2016,3,Number of people requiring interventions against neglected tropical diseases,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.4.1,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",UN,see https://unstats.un.org/sdgs/metadata/,Percent,9.1,-1,0.39238202571868896,7.800000190734863,12.56804370880127,23,7.5,4.077658653259277,1.2428808212280273,2016,3,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.4.2,Death from intentional self-harm,OECD,OECD Health Statistics,Deaths per 100 000 population (standardised rates),12.8,-1,2.4052040576934814,2.0999999046325684,11.430459976196289,26.700000762939453,0,5.321794033050537,2.1478583812713623,2015,3,Suicide mortality rate,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.5.2,Alcohol consumption per capita,OECD,OECD Health Statistics,Litres per capita,9.7,-1,1.412056565284729,1.2999999523162842,8.043595314025879,13.199999809265137,6,2.6202917098999023,0.7799113988876343,2015,3,Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.6.1,Death rate due to road traffic injuries,OECD,International Traffic Safety Data and Analysis Group Database,Deaths per 100 000 population,5.353,-1,1.1311368942260742,2.5910000801086426,6.998474597930908,11.972000122070313,2.689500093460083,2.354710578918457,1.8299380540847778,2016,3,Death rate due to road traffic injuries,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.7.2,Adolescent fertility rate,OECD,OECD Family database,Births per 1000 women,11.9,-1,0.9513741731643677,1.2999999523162842,18.704782485961914,66.19999694824219,0,12.508222579956055,1.4953988790512085,2015,3,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.9.1,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",UN,see https://unstats.un.org/sdgs/metadata/,Per 100 000 population,8,-1,0.7709683179855347,7,17.485876083374023,47,0,10.376561164855957,1.6851320266723633,2016,3,Mortality rate attributed to household and ambient air pollution,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.9.2,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",UN,see https://unstats.un.org/sdgs/metadata/,Per 100 000 population,0.1,-1,0.2980477809906006,0,0.37900614738464355,1.7999999523162842,0,0.33551666140556335,1.1296194791793823,2016,3,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.9.3,Mortality from accidental poisonning,OECD,OECD Health Statistics,Deaths per 100 000 population (standardised rates),5.1,-1,1.231777310371399,0,5.250706672668457,15.300000190734863,0,4.140358924865723,1.2681766748428345,2015,3,Mortality rate attributed to unintentional poisoning,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.a.1,Tobacco consumption,OECD,OECD Health Statistics,% of population who are daily smokers,12.4,-1,2.5996882915496826,7.599999904632568,16.544357299804688,27.299999237060547,0,4.769802570343018,3.468562364578247,2016,3,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.b.2,Total net official development assistance to medical research and basic health sectors,OECD,Creditor Reporting System Aid Activity (database),Millions USD,89.8843994140625,0,NA,0,760.28143310546875,1984.432861328125,NA,355.6051330566406,NA,2017,3,Total net official development assistance to medical research and basic health sectors,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.c.1,Physicians density,OECD,OECD Health Statistics,Density per 1 000 population (head counts),3.57,1,0.986997127532959,2.3399999141693115,2.9389333724975586,5.130000114440918,4.269999980926514,0.7092218995094299,1.8767985105514526,2016,3,Health worker density and distribution,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,3.d.1,Average of 13 International Health Regulations (IHR) core capacities,UN,see https://unstats.un.org/sdgs/metadata/,Percent,99.67949,1,0.034430187195539474,68.21569061279297,94.08173370361328,100,100,9.308981895446777,0.6357586979866028,2017,3,International Health Regulations (IHR) capacity and health emergency preparedness,NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.1.1,Proportion of 15 year-olds achieving at least PISA level 2 in mathematics,OECD,OECD PISA,Percent,78.0255276953867,1,2.080827474594116,43.35862350463867,72.50373840332031,89.30784606933594,100,10.56044864654541,2.6037020683288574,2015,4,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.2.2,Participation rate in organized learning (one year before the official primary entry age),OECD,OECD Education Statistics,Percent,90.629021,1,1.5996885299682617,65.528411865234375,93.44645690917969,99.98413848876953,100,5.858002185821533,1.118733525276184,2016,4,"Participation rate in organized learning (one year before the official primary entry age), by sex",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.3.1,Participation rate of adults in formal and non-formal education,OECD,OECD PIAAC and AES,Percent,54.888665,1,0.7041944265365601,16.700000762939453,48.84588623046875,69.0999984741211,63.79999923706055,12.654650688171387,1.1817089319229126,2012,4,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.4.1,Proportion of adults with information and communications technology (ICT) skills (Skill considered: Writing a computer program using a specialized programming language) (ITU),OECD,OECD PIAAC and AES,Percent,NA,1,NA,2.200000047683716,5.483831882476807,18.299999237060547,11,3.7430057525634766,1.4737268686294556,NA,4,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.5.1,Socio-economic parity index (based on PISA ESCS Index),OECD,OECD PISA,Index (no unit),0.70889109,1,2.7449238300323486,0.38429760932922363,0.6680052280426025,0.8418887853622437,1,0.10605354607105255,3.1304447650909424,2015,4,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",NA,NA
AUS,http://dx.doi.org/10.1787/888933962873,4.6.1,Proportion of adults achieving at least a fixed level of proficiency in functional numeracy skills,OECD,OECD PIAAC and AES,Percent,79.516018,1,1.763424277305603,37.89699172973633,74.00666809082031,91.74810028076172,100,11.616025924682617,2.237712860107422,2012,4,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",NA,NA
