"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality","sex"
"ABW",2004,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",2.14,"C",1,"BOTHSEX"
"ABW",2004,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",0,"C",1,"FEMALE"
"ABW",2004,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",4.48,"C",1,"MALE"
"ABW",2005,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",6.35,"C",1,"BOTHSEX"
"ABW",2005,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",2.02,"C",1,"FEMALE"
"ABW",2005,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",11.09,"C",1,"MALE"
"ABW",2006,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",5.23,"C",1,"BOTHSEX"
"ABW",2006,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",2,"C",1,"FEMALE"
"ABW",2006,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",8.77,"C",1,"MALE"
"ABW",2007,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",3.1,"C",1,"BOTHSEX"
"ABW",2007,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",0,"C",1,"FEMALE"
"ABW",2007,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",6.5,"C",1,"MALE"
"ABW",2008,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",5.1,"C",1,"BOTHSEX"
"ABW",2008,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",1.95,"C",1,"FEMALE"
"ABW",2008,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",8.56,"C",1,"MALE"
"ABW",2009,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",4.03,"C",1,"BOTHSEX"
"ABW",2009,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",1.93,"C",1,"FEMALE"
"ABW",2009,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",6.34,"C",1,"MALE"
"ABW",2010,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",3.99,"C",1,"BOTHSEX"
"ABW",2010,"16","16.1","16.1.1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",0,"C",1,"FEMALE"
