Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","24","Angola","2019","13.31","2019","","","","","LFS - Employment Survey","","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","28","Antigua and Barbuda","2001","45.06","2001","","","","","PC - Population Census","","Data reference period: May","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2000","29.96","2000","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2001","31.79","2001","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2002","32.23","2002","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2003","32.74","2003","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2004","33.51","2004","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2005","34.36","2005","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2006","34.29","2006","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
"5","5.5","5.5.2","IC_GEN_MGTL_19ICLS","Proportion of women in managerial positions - 19th ICLS (%)","36","Australia","2007","34.29","2007","","","","","LFS - Labour Force Survey","","Population coverage: Excluding armed forces and/or conscripts","15+","C","A","G","FEMALE","PERCENT"
