Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2016","48.5","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2016","52.5","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2016","52.6","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2020","50.8","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2020","53.5","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","4","Afghanistan","2020","53.6","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","24","Angola","2015","52.8","2015","","","","","Instituto Nacional de Estatística","","Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","24","Angola","2015","48.9","2015","","","","","Instituto Nacional de Estatística","","Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","24","Angola","2015","43.4","2015","","","","","Instituto Nacional de Estatística","","Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","64","Bhutan","2012","40.1","2012","","","","","National Statistics Bureau","","Data source: Bhutan Living Standards Survey (BLSS) 2012; Topics included: Education, Health, living standards; Overall number of indicators: 13; Official publication: Bhutan Multidimensional Poverty Index 2017","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","64","Bhutan","2017","35.2","2017","","","","","National Statistics Bureau","","Data source: Bhutan Living Standards Survey (BLSS) 2017; Topics included: Education, Health, living standards; Overall number of indicators: 13; Official publication: Bhutan Multidimensional Poverty Index 2017","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","64","Bhutan","2017","39.4","2017","","","","","National Statistics Bureau","","Data source: Bhutan Living Standards Survey (BLSS) 2017; Topics included: Education, Health, living standards; Overall number of indicators: 13; Official publication: Bhutan Multidimensional Poverty Index 2017","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","64","Bhutan","2017","39.7","2017","","","","","National Statistics Bureau","","Data source: Bhutan Living Standards Survey (BLSS) 2017; Topics included: Education, Health, living standards; Overall number of indicators: 13; Official publication: Bhutan Multidimensional Poverty Index 2017","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","84","Belize","2021","35.9","2021","","","","","Statistical Institute of Belize","","Data source: Labor Force Survey 2021; Topics included: Education, Living standards, Employment, and Health; Overall number of indicators: 17; Official publication: Multidimensional Poverty in Belize","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","84","Belize","2021","39.0","2021","","","","","Statistical Institute of Belize","","Data source: Labor Force Survey 2021; Topics included: Education, Living standards, Employment, and Health; Overall number of indicators: 17; Official publication: Multidimensional Poverty in Belize","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","84","Belize","2021","40.3","2021","","","","","Statistical Institute of Belize","","Data source: Labor Force Survey 2021; Topics included: Education, Living standards, Employment, and Health; Overall number of indicators: 17; Official publication: Multidimensional Poverty in Belize","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2016","37.3","2016","","","","","Department of Census and Statistics","","Data source: the Demography and Health Survey (DHS) 2016; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Global Multidimensional Poverty for Sri Lanka","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2016","37.5","2016","","","","","Department of Census and Statistics","","Data source: the Demography and Health Survey (DHS) 2016; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Global Multidimensional Poverty for Sri Lanka","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2016","37.3","2016","","","","","Department of Census and Statistics","","Data source: the Demography and Health Survey (DHS) 2016; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Global Multidimensional Poverty for Sri Lanka","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2019","40.6","2019","","","","","Department of Census and Statistics","","Data source: the Household Income and Expenditure
Survey 2019; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Multidimensional Poverty in Sri Lanka","ALLAGE","URBAN","C","B","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2019","41.6","2019","","","","","Department of Census and Statistics","","Data source: the Household Income and Expenditure
Survey 2019; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Multidimensional Poverty in Sri Lanka","ALLAGE","ALLAREA","C","B","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_ANDI","Average proportion of deprivations for people multidimensionally poor (%)","144","Sri Lanka","2019","40.9","2019","","","","","Department of Census and Statistics","","Data source: the Household Income and Expenditure
Survey 2019; Topics included: Education, health, standard of living; Overall number of indicators: 10; Official publication: Multidimensional Poverty in Sri Lanka","ALLAGE","RURAL","C","B","G","BOTHSEX","PERCENT"
