Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Sex],[Units]
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","250","France","2016","53.8","2016","","","","","Adult Education Survey (AES). Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","250","France","2016","48.7","2016","","","","","Adult Education Survey (AES). Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","268","Georgia","2017","1.96888","2017","","","","","Labour force survey. Reference period for participation in education and training: last 4 weeks prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","268","Georgia","2017","1.61582","2017","","","","","Labour force survey. Reference period for participation in education and training: last 4 weeks prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","268","Georgia","2017","1.23425","2017","","","","","Labour force survey. Reference period for participation in education and training: last 4 weeks prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2000","1.17561","2000","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2000","2.0746","2000","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2000","2.94683","2000","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2001","3.11587","2001","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2001","2.17096","2001","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2002","2.15724","2002","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2002","1.31686","2002","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2002","2.97262","2002","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2003","1.81811","2003","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2003","2.69041","2003","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2004","2.86721","2004","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2004","2.03037","2004","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2004","3.65985","2004","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2005","2.7073","2005","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2005","3.05188","2005","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2006","3.37724","2006","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2006","2.96761","2006","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2006","2.54277","2006","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2007","2.54037","2007","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2007","3.12356","2007","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2007","3.6826","2007","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2012","3.69677","2012","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2012","3.18219","2012","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2012","2.64662","2012","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2013","2.92673","2013","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2013","3.293","2013","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2013","2.51496","2013","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","FEMALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2014","2.88622","2014","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","MALE","PERCENT"
"4","4.3","4.3.1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","275","State of Palestine","2014","2.53213","2014","","","","","Palestinian labour force survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.","","","C","G","BOTHSEX","PERCENT"
