Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Units]
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2018","0.99839","2018","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2019","0.94017","2019","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2019","1.25544","2019","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2019","1.02569","2019","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2020","1.07001","2020","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2020","1.28702","2020","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","144","Sri Lanka","2020","1.01017","2020","","","","","LKA - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","148","Chad","2018","0.51179","2018","","","","","TCD - HIES - Modular and Integrated Household Survey on Living Conditions - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","148","Chad","2018","0.49397","2018","","","","","TCD - HIES - Modular and Integrated Household Survey on Living Conditions - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-24","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","148","Chad","2018","0.32233","2018","","","","","TCD - HIES - Modular and Integrated Household Survey on Living Conditions - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2010","0.94987","2010","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","15-64","E","G","Ratio"
"4","4.5","4.5.1","SE_GPI_PART","Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio)","152","Chile","2010","1.04101","2010","","","","","CHL - LFS - National Employment Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.","","","25-54","E","G","Ratio"
