Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Disability status],[Nature],[Population Group],[Reporting Type],[Sex],[Type of occupation],[Units]
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","8","Albania","2016","0.79","2016","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","8","Albania","2018","0.83","2018","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","8","Albania","2020","0.93","2020","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","20","Andorra","2016","0.67","2016","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","20","Andorra","2018","0.67","2018","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","20","Andorra","2020","0.67","2020","","","","","Council of Europe CEPEJ-STAT ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","40","Austria","2021","0.99","2021","","","","","STATISTIK AUSTRIA","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","40","Austria","2022","1.01","2022","","","","","Federal Ministry of Arts, Culture, Civil Service and Sport","","","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","40","Austria","2022","0.35","2022","","","","","Federal Ministry of Arts, Culture, Civil Service and Sport","","","<45Y","_T","C","TOTAL","G","BOTHSEX","JUDGES","Ratio"
"16","16.7","16.7.1","SG_DMK_JDC_HGR","Proportions of positions in the judiciary compared to national distributions, Higher Courts (ratio)","48","Bahrain","2020","0.05","2020","","","","","Supreme Judicial Council","","Registrars position are not applicable in Kingdom of Bahrain, we have similar position but appeals are only limited to judges.","ALLAGE","_T","C","TOTAL","G","FEMALE","JUDGES","Ratio"
