Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Disability status],[Nature],[Population Group],[Reporting Type],[Sex],[Type of occupation],[Units]
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","1","World","2022","0.80","2022","","","","","UNDP Global Policy Centre for Governance","","The estimate is derived using the most recent data available for each country in the period 2015-2022. ","ALLAGE","_T","N","TOTAL","G","BOTHSEX","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","4","Afghanistan","2020","0.03","2020","","","","","Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","8","Albania","2020","1.04","2020","","","","","General Directorate of Taxation, social insurance contributors; INSTAT's calculation","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ADMINPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","8","Albania","2020","0.47","2020","","","","","General Directorate of Taxation, social insurance contributors; INSTAT's calculation","","","ALLAGE","_T","C","TOTAL","G","FEMALE","OTHERMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","8","Albania","2020","1.01","2020","","","","","General Directorate of Taxation, social insurance contributors; INSTAT's calculation","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ASSOCPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","8","Albania","2020","1.06","2020","","","","","General Directorate of Taxation, social insurance contributors; INSTAT's calculation","","","ALLAGE","_T","C","TOTAL","G","FEMALE","SENIORMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","8","Albania","2020","1.18","2020","","","","","General Directorate of Taxation, social insurance contributors; INSTAT's calculation","","","ALLAGE","_T","C","TOTAL","G","FEMALE","GENERAL","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","9","Oceania","2022","0.77","2022","","","","","UNDP Global Policy Centre for Governance","","The estimate is derived using the most recent data available for each country in the period 2015-2022. ","ALLAGE","_T","N","TOTAL","G","BOTHSEX","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","20","Andorra","2020","1.18","2020","","","","","Andorra Statistical Office Public Sector Employees by Sex https://www.estadistica.ad/portal/apps/sites/#/estadistica-en/pages/estadistiques-i-dades-detall?Idioma=en&N2=641&N3=642&DV=1331","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","20","Andorra","2021","1.18","2021","","","","","Andorra Statistical Office Public Sector Employees by Sex https://www.estadistica.ad/portal/apps/sites/#/estadistica-en/pages/estadistiques-i-dades-detall?Idioma=en&N2=641&N3=642&DV=1331","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","24","Angola","2021","0.33","2021","","","","","Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","40","Austria","2022","1.00","2022","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","50","Bangladesh","2017","0.29","2017","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","51","Armenia","2018","0.58","2018","","","","","Households Living Conditions Survey ","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","52","Barbados","2019","0.96","2019","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","56","Belgium","2021","1.00","2021","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","1.55","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","ADMINPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","0.86","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","SENIORMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","1.22","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","1.20","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","GENERAL","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","1.62","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","ASSOCPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","60","Bermuda","2016","1.00","2016","","","","","2016 Census","","The Bermuda Standard Classification of Occupations: https://www.gov.bm/sites/default/files/Bermuda-Standard-Classification-of-Occupations-%28BSCO%29.pdf","ALLAGE","_T","C","TOTAL","G","FEMALE","OTHERMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","62","Central and Southern Asia","2022","0.55","2022","","","","","UNDP Global Policy Centre for Governance","","The estimate is derived using the most recent data available for each country in the period 2015-2022. ","ALLAGE","_T","N","TOTAL","G","BOTHSEX","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","64","Bhutan","2021","0.46","2021","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","64","Bhutan","2022","0.43","2022","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","68","Bolivia (Plurinational State of)","2021","0.60","2021","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","0.44","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","<35Y","_T","C","TOTAL","G","BOTHSEX","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","0.99","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ADMINPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","0.91","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ASSOCPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","1.19","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","GENERAL","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","0.80","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","OTHERMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","0.29","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","SENIORMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","70","Bosnia and Herzegovina","2020","1.11","2020","","","","","Agency for Statistics of Bosnia and Herzegovina","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","72","Botswana","2022","1.26","2022","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","76","Brazil","2022","0.79","2022","","","","","Labour Force Survey","","","ALLAGE","_T","C","TOTAL","G","FEMALE","TOTAL_PSP","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2021","1.53","2021","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ADMINPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2021","1.17","2021","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","OTHERMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2021","0.73","2021","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","SENIORMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2021","1.32","2021","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","GENERAL","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2021","0.68","2021","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ASSOCPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2022","0.68","2022","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ASSOCPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2022","1.54","2022","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","ADMINPRO","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2022","0.86","2022","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","SENIORMAN","Ratio"
"16","16.7","16.7.1","SG_DMK_PSRVC","Proportions of positions in the public service compared to national distributions (ratio)","84","Belize","2022","1.14","2022","","","","","HRMIS","","","ALLAGE","_T","C","TOTAL","G","FEMALE","OTHERMAN","Ratio"
