Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Units]
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","1","World","2018","77.48","2018","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","N","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","1","World","2020","80.74","2020","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","N","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","1","World","2022","79.98","2022","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","N","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","8","Albania","2018","90.91","2018","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","8","Albania","2020","90.91","2020","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","8","Albania","2022","90.91","2022","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","28","Antigua and Barbuda","2022","90.91","2022","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","31","Azerbaijan","2022","81.82","2022","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","32","Argentina","2020","90.91","2020","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
"5","5.1","5.1.1","SG_LGL_GENEQMAR","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family","32","Argentina","2022","90.91","2022","","","","","UN Women","","Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire. ","G","G","PERCENT"
