Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Sex],[Units]
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2000","73.7","2000","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2001","74","2001","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2002","74.2","2002","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2003","74.5","2003","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2004","74.8","2004","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2005","74.9","2005","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2006","75.1","2006","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2007","75.2","2007","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2008","75.3","2008","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2009","75.5","2009","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2010","75.8","2010","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2011","76","2011","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2012","76.2","2012","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2013","76.4","2013","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2014","76.4","2014","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2015","76.5","2015","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2016","76.6","2016","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2017","76.7","2017","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2018","76.9","2018","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2019","77.1","2019","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2020","77.2","2020","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2021","77.4","2021","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2022","77.5","2022","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","1","World","2023","77.6","2023","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","4","Afghanistan","2015","42.1","2015-2016","","","","","Afghanistan 2015 Demographic and Health Survey","","The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.   ","15-49","CA","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","8","Albania","2008","13.9","2008-2009","","","","","Albania 2008-2009 Demographic and Health Survey","","   ","15-49","CA","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","8","Albania","2017","6.3","2017-2018","","","","","Albania 2017-2018 Demographic and Health Survey","","   ","15-49","CA","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2000","77.1","2000","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2001","77.1","2001","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2002","77","2002","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2003","76.9","2003","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2004","76.7","2004","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2005","76.5","2005","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2006","76.3","2006","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2007","76.2","2007","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2008","76.1","2008","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
"3","3.7","3.7.1","SH_FPL_MTMM","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","9","Oceania","2009","76.3","2009","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2022). Estimates and Projections of Family Planning Indicators 2022.","","","15-49","N","G","FEMALE","PERCENT"
