Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2015","14.6","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2015","15.4","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2015","16.6","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2016","17.1","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2016","15.7","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2016","14.8","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2017","14.9","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2017","15.9","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2017","17.4","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2018","16.9","2018","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2018","15.4","2018","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2018","14.3","2018","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2019","14.9","2019","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2019","15.9","2019","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2019","17.4","2019","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2020","18.3","2020","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2020","16.3","2020","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2020","15","2020","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2021","15.6","2021","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2021","16.7","2021","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2021","18.3","2021","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2022","18.2","2022","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2022","16.8","2022","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2022","15.8","2022","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2023","15.8","2023","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2023","16.7","2023","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","1","World","2023","18.1","2023","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2015","2.7","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2015","2.5","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2015","2.8","2015","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2016","2.8","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2016","2.6","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2016","2.7","2016","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2017","2.9","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","BOTHSEX","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2017","2.7","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2017","3","2017","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2018","3","2018","","","","","ILO modelled estimates 2024","","","15+","N","A","G","MALE","PERCENT"
"1","1.3","1.3.1","SI_COV_UEMP","[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)","2","Africa","2018","2.8","2018","","","","","ILO modelled estimates 2024","","","15+","N","A","G","FEMALE","PERCENT"
