Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Reporting Type],[Sex],[Units]
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","4","Afghanistan","2007","33.7","2007","","","","","World Development Indicators database, World Bank","","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","4","Afghanistan","2011","38.3","2011","","","","","World Development Indicators database, World Bank","","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","4","Afghanistan","2016","54.5","2016","","","","","World Development Indicators database, World Bank","","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2002","25.4","2002","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2002","19.5","2002","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2002","29.6","2002","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2005","11.2","2005","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2005","18.5","2005","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2005","24.2","2005","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2008","14.6","2008","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2008","10.1","2008","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2008","12.4","2008","","","","","World Development Indicators database, World Bank","","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2012","13.6","2012","","","","","World Development Indicators database, World Bank","","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2012","15.3","2012","","","","","World Development Indicators database, World Bank","","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","8","Albania","2012","14.3","2012","","","","","World Development Indicators database, World Bank","","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","12","Algeria","2011","5.8","2011","","","","","World Development Indicators database, World Bank","","Source: La Pauvrete en Algerie en 2011. Direction Des Statistiques Sociales et des Revenus. Septembre 2014. Poverty line is absolute. Government estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","12","Algeria","2011","5.5","2011","","","","","World Development Indicators database, World Bank","","Source: La Pauvrete en Algerie en 2011. Direction Des Statistiques Sociales et des Revenus. Septembre 2014. Poverty line is absolute. Government estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","12","Algeria","2011","4.8","2011","","","","","World Development Indicators database, World Bank","","Source: La Pauvrete en Algerie en 2011. Direction Des Statistiques Sociales et des Revenus. Septembre 2014. Poverty line is absolute. Government estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","24","Angola","2008","58.3","2008","","","","","World Development Indicators database, World Bank","","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","24","Angola","2008","36.6","2008","","","","","World Development Indicators database, World Bank","","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.","","ALLAREA","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","24","Angola","2008","18.7","2008","","","","","World Development Indicators database, World Bank","","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.","","URBAN","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","31","Azerbaijan","2001","42.5","2001","","","","","World Development Indicators database, World Bank","","Source: Azerbaijan: Living Conditions Assessment Report, Report No. 52801-AZ, March 2010. Poverty line is absolute. World Bank estimate.","","RURAL","CA","G","","PERCENT"
"1","1.2","1.2.1","SI_POV_NAHC","Proportion of population living below the national poverty line (%)","31","Azerbaijan","2001","55.7","2001","","","","","World Development Indicators database, World Bank","","Source: Azerbaijan: Living Conditions Assessment Report, Report No. 52801-AZ, March 2010. Poverty line is absolute. World Bank estimate.","","URBAN","CA","G","","PERCENT"
