Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Cause of death],[Nature],[Reporting Type],[Sex],[Units]
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2015","12.6","2015","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2016","10.6","2016","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2017","7.7","2017","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2018","6.2","2018","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2019","4.1","2019","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2020","3","2020","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2021","2.7","2021","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2022","3.6","2022","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","1","World","2023","8.1","2023","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","N","G","BOTHSEX","PER_100000_POP"
"16","16.1","16.1.2","VC_DTH_TOTR","Number of total conflict-related deaths per 100,000 population (Per 100,000 population)","4","Afghanistan","2015","10.68619","2015","","","","","Office of the High Commissioner for Human Rights (OHCHR)","","Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data collected by other sources, when applicable. Previous data may be updated as new data becomes available. The death rate was calculated on the basis of civilian deaths only. ","ALLAGE","_T","G","G","BOTHSEX","PER_100000_POP"
