Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Sex],[Units]
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2003","0","2003","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2004","0","2004","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2005","0","2005","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2006","0","2006","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2007","0","2007","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","4","Afghanistan","2008","0","2008","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2008","108","2008","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2009","94","2009","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2010","97","2010","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2011","84","2011","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2012","92","2012","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","8","Albania","2013","95","2013","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","12","Algeria","2014","1","2014","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","12","Algeria","2015","2","2015","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
"16","16.2","16.2.2","VC_HTF_DETV","Detected victims of human trafficking, by age and sex (number)","12","Algeria","2016","32","2016","","","","","GLOTIP Database","","Data in reference to one country but derived from different types of sources should not be compared between them.
","ALLAGE","C","G","BOTHSEX","NUMBER"
