iso3c,date,country,region,income_level,Indicators Available,Total Indicators,availability,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.CD,SP.POP.TOTL,IQ.SPI.OVRL,IQ.SPI.PIL1,IQ.SPI.PIL2,IQ.SPI.PIL3,IQ.SPI.PIL4,IQ.SPI.PIL5,SG.LAW.INDX,income_alt_groups,pop_groups
AFG,2023,Afghanistan,South Asia,Low income,20,50,40,NA,NA,42239854,NA,NA,NA,NA,NA,NA,31.875,Low income,Pop > 500K
AGO,2023,Angola,Sub-Saharan Africa,Lower middle income,15,50,30,2333.718775061359,8040.543600620777,36684202,NA,NA,NA,NA,NA,NA,79.375,Lower middle income,Pop > 500K
ALB,2023,Albania,Europe & Central Asia,Upper middle income,21,50,42,5394.182410007088,21395.325037263316,2745972,NA,NA,NA,NA,NA,NA,91.25,Upper middle income,Pop > 500K
ARE,2023,United Arab Emirates,Middle East & North Africa,High income,17,50,34,46877.42868767396,83902.67112595249,9516871,NA,NA,NA,NA,NA,NA,82.5,Hgh Income & Pop >= 500K,Pop > 500K
ARG,2023,Argentina,Latin America & Caribbean,Upper middle income,27,50,54,12625.469550909564,29362.692418732186,46654581,NA,NA,NA,NA,NA,NA,79.375,Upper middle income,Pop > 500K
ARM,2023,Armenia,Europe & Central Asia,Upper middle income,24,50,48,5566.318492913517,23054.600523069097,2777970,NA,NA,NA,NA,NA,NA,90.625,Upper middle income,Pop > 500K
AUS,2023,Australia,East Asia & Pacific,High income,21,50,42,61340.71048480177,69114.73789450664,26638544,NA,NA,NA,NA,NA,NA,96.875,Hgh Income & Pop >= 500K,Pop > 500K
AUT,2023,Austria,Europe & Central Asia,High income,23,50,46,45851.72488,73751.35270637998,9132383,NA,NA,NA,NA,NA,NA,96.875,Hgh Income & Pop >= 500K,Pop > 500K
AZE,2023,Azerbaijan,Europe & Central Asia,Upper middle income,18,50,36,5674.483477137321,23685.538639855273,10112555,NA,NA,NA,NA,NA,NA,85,Upper middle income,Pop > 500K
BDI,2023,Burundi,Sub-Saharan Africa,Low income,16,50,32,262.1657056468602,950.8798139332287,13238559,NA,NA,NA,NA,NA,NA,76.25,Low income,Pop > 500K
BEL,2023,Belgium,Europe & Central Asia,High income,22,50,44,44283.20771434625,70455.95842579562,11822592,NA,NA,NA,NA,NA,NA,100,Hgh Income & Pop >= 500K,Pop > 500K
BEN,2023,Benin,Sub-Saharan Africa,Lower middle income,21,50,42,1300.3200015634366,4248.310817396216,13712828,NA,NA,NA,NA,NA,NA,83.75,Lower middle income,Pop > 500K
BFA,2023,Burkina Faso,Sub-Saharan Africa,Low income,23,50,46,738.9565342228924,2726.9423099800215,23251485,NA,NA,NA,NA,NA,NA,82.5,Low income,Pop > 500K
BGD,2023,Bangladesh,South Asia,Lower middle income,22,50,44,1869.1639329653894,9065.698934284508,172954319,NA,NA,NA,NA,NA,NA,49.375,Lower middle income,Pop > 500K
BGR,2023,Bulgaria,Europe & Central Asia,Upper middle income,21,50,42,9779.822063793641,38689.548074916594,6430370,NA,NA,NA,NA,NA,NA,90.625,Upper middle income,Pop > 500K
BHR,2023,Bahrain,Middle East & North Africa,High income,15,50,30,24734.342069295177,63847.82972826648,1485509,NA,NA,NA,NA,NA,NA,68.125,Hgh Income & Pop >= 500K,Pop > 500K
BHS,2023,"Bahamas, The",Latin America & Caribbean,High income,9,50,18,30061.654651319983,35554.79948063974,412623,NA,NA,NA,NA,NA,NA,81.25,Hgh Income & Pop <= 500K,Pop <= 500K
BIH,2023,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,20,50,40,6421.0071440214715,22845.518548678097,3210847,NA,NA,NA,NA,NA,NA,85,Upper middle income,Pop > 500K
BLR,2023,Belarus,Europe & Central Asia,Upper middle income,24,50,48,6482.820332738967,30751.49541885511,9178298,NA,NA,NA,NA,NA,NA,75.625,Upper middle income,Pop > 500K
BLZ,2023,Belize,Latin America & Caribbean,Upper middle income,19,50,38,6385.373584319134,14195.31362077654,410825,NA,NA,NA,NA,NA,NA,82.5,Upper middle income,Pop <= 500K
BOL,2023,Bolivia,Latin America & Caribbean,Lower middle income,22,50,44,3168.7319012557427,10726.998807830332,12388571,NA,NA,NA,NA,NA,NA,88.75,Lower middle income,Pop > 500K
BRA,2023,Brazil,Latin America & Caribbean,Upper middle income,24,50,48,9032.113614063375,20584.419166157877,216422446,NA,NA,NA,NA,NA,NA,85,Upper middle income,Pop > 500K
BRB,2023,Barbados,Latin America & Caribbean,High income,13,50,26,17690.196482172007,19357.16944286764,281995,NA,NA,NA,NA,NA,NA,80,Hgh Income & Pop <= 500K,Pop <= 500K
BRN,2023,Brunei Darussalam,East Asia & Pacific,High income,16,50,32,29132.946854377515,86445.66052686024,452524,NA,NA,NA,NA,NA,NA,53.125,Hgh Income & Pop <= 500K,Pop <= 500K
BTN,2023,Bhutan,South Asia,Lower middle income,18,50,36,NA,NA,787424,NA,NA,NA,NA,NA,NA,75,Lower middle income,Pop > 500K
