"iso3c","date","country","region","income_level","Sex Disaggregated Data Available: 50 Gender SDG Indicators","Any Data Available: 50 Gender SDG Indicators","Sex Disaggregated Data Available: Tier 1","Sex Disaggregated Data Available: Tier 2","Sex Disaggregated Data Available: 1","Sex Disaggregated Data Available: 10","Sex Disaggregated Data Available: 11","Sex Disaggregated Data Available: 16","Sex Disaggregated Data Available: 2","Sex Disaggregated Data Available: 3","Sex Disaggregated Data Available: 4","Sex Disaggregated Data Available: 5","Sex Disaggregated Data Available: 8","Sex Disaggregated Data Available: Top 5 DHS/MICS Dropped","Sex Disaggregated Data Available: Top 7 DHS/MICS Dropped"
"AFG",2023,"Afghanistan","South Asia","Low income",20,24,16,4,1,0,0,3,1,4,3,4,4,18,18
"AGO",2023,"Angola","Sub-Saharan Africa","Lower middle income",15,18,12,3,1,0,0,2,1,2,2,4,3,15,14
"ALB",2023,"Albania","Europe & Central Asia","Upper middle income",21,26,17,4,3,0,0,3,1,4,4,5,1,21,21
"ARE",2023,"United Arab Emirates","Middle East & North Africa","High income",17,20,14,3,1,0,0,3,0,3,4,5,1,17,17
"ARG",2023,"Argentina","Latin America & Caribbean","Upper middle income",27,32,21,6,2,0,0,3,1,5,5,7,4,25,24
"ARM",2023,"Armenia","Europe & Central Asia","Upper middle income",24,29,18,6,3,0,0,3,1,3,4,6,4,24,24
"AUS",2023,"Australia","East Asia & Pacific","High income",21,24,17,4,1,0,0,4,1,4,4,5,2,21,21
"AUT",2023,"Austria","Europe & Central Asia","High income",23,29,16,7,3,0,1,4,0,3,4,6,2,23,23
"AZE",2023,"Azerbaijan","Europe & Central Asia","Upper middle income",18,22,13,5,1,0,0,2,1,4,3,5,2,18,18
"BDI",2023,"Burundi","Sub-Saharan Africa","Low income",16,20,13,3,2,0,0,1,1,3,4,3,2,16,15
"BEL",2023,"Belgium","Europe & Central Asia","High income",22,27,17,5,3,0,0,3,1,3,4,5,3,21,21
"BEN",2023,"Benin","Sub-Saharan Africa","Lower middle income",21,25,14,7,2,0,0,2,2,4,3,6,2,18,18
"BFA",2023,"Burkina Faso","Sub-Saharan Africa","Low income",23,28,16,7,2,0,0,3,2,5,3,6,2,21,20
"BGD",2023,"Bangladesh","South Asia","Lower middle income",22,27,17,5,2,0,0,2,1,5,3,6,3,20,19
"BGR",2023,"Bulgaria","Europe & Central Asia","Upper middle income",21,26,17,4,3,0,0,3,0,4,4,4,3,21,21
"BHR",2023,"Bahrain","Middle East & North Africa","High income",15,16,11,4,1,0,0,3,1,3,3,3,1,15,15
"BHS",2023,"Bahamas, The","Latin America & Caribbean","High income",9,13,7,2,1,0,0,2,0,3,2,1,0,9,8
"BIH",2023,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",20,22,16,4,1,0,0,3,0,3,4,6,3,20,20
"BLR",2023,"Belarus","Europe & Central Asia","Upper middle income",24,28,18,6,2,0,0,3,0,4,4,7,4,22,21
"BLZ",2023,"Belize","Latin America & Caribbean","Upper middle income",19,24,15,4,1,0,0,2,1,4,3,5,3,19,18
"BOL",2023,"Bolivia","Latin America & Caribbean","Lower middle income",22,28,18,4,2,0,0,3,1,3,3,6,4,22,22
"BRA",2023,"Brazil","Latin America & Caribbean","Upper middle income",24,28,19,5,2,0,0,4,1,4,4,6,3,24,24
"BRB",2023,"Barbados","Latin America & Caribbean","High income",13,16,11,2,1,0,0,2,0,3,2,4,1,13,12
"BRN",2023,"Brunei Darussalam","East Asia & Pacific","High income",16,19,13,3,1,0,0,1,1,3,4,4,2,16,16
"BTN",2023,"Bhutan","South Asia","Lower middle income",18,23,15,3,2,0,0,2,1,4,3,4,2,18,17
"BWA",2023,"Botswana","Sub-Saharan Africa","Upper middle income",16,18,14,2,1,0,0,3,0,4,2,3,3,16,15
"CAF",2023,"Central African Republic","Sub-Saharan Africa","Low income",17,22,12,5,2,0,0,2,1,4,2,5,1,14,13
"CAN",2023,"Canada","North America","High income",20,26,16,4,1,0,0,4,1,4,4,5,1,20,20
"CHE",2023,"Switzerland","Europe & Central Asia","High income",24,31,17,7,2,0,0,4,1,2,4,8,3,24,24
"CHL",2023,"Chile","Latin America & Caribbean","High income",24,29,19,5,2,0,0,4,1,4,4,6,3,24,24
"CHN",2023,"China","East Asia & Pacific","Upper middle income",10,18,8,2,1,0,0,1,1,2,1,4,0,9,8
"CIV",2023,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",29,34,21,8,2,0,0,3,2,5,5,8,4,26,25
"CMR",2023,"Cameroon","Sub-Saharan Africa","Lower middle income",16,21,13,3,1,0,0,3,1,3,3,4,1,16,15
"COD",2023,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",14,21,11,3,1,0,0,2,1,2,3,3,2,14,13
"COG",2023,"Congo, Rep.","Sub-Saharan Africa","Lower middle income",10,13,7,3,1,0,0,1,1,2,2,3,0,10,9
"COL",2023,"Colombia","Latin America & Caribbean","Upper middle income",28,33,19,9,3,0,0,5,1,4,3,8,4,28,28
"COM",2023,"Comoros","Sub-Saharan Africa","Lower middle income",16,19,13,3,1,0,0,1,0,3,3,4,4,14,14
"CPV",2023,"Cabo Verde","Sub-Saharan Africa","Lower middle income",15,18,12,3,1,0,0,2,1,3,2,5,1,15,14
"CRI",2023,"Costa Rica","Latin America & Caribbean","Upper middle income",24,29,19,5,3,0,0,3,1,4,4,6,3,24,24
"CUB",2023,"Cuba","Latin America & Caribbean","Upper middle income",15,20,12,3,1,0,0,2,0,5,4,3,0,13,12
"CYP",2023,"Cyprus","Europe & Central Asia","High income",20,26,17,3,3,0,0,3,0,4,4,4,2,20,20
"CZE",2023,"Czech Republic","Europe & Central Asia","High income",22,28,17,5,3,0,0,3,0,3,4,6,3,22,22
"DEU",2023,"Germany","Europe & Central Asia","High income",25,31,17,8,2,0,0,4,1,4,4,7,3,25,25
"DJI",2023,"Djibouti","Middle East & North Africa","Lower middle income",9,12,6,3,1,0,0,1,0,1,2,4,0,7,6
"DNK",2023,"Denmark","Europe & Central Asia","High income",21,27,18,3,3,0,0,3,0,4,4,5,2,20,20
"DOM",2023,"Dominican Republic","Latin America & Caribbean","Upper middle income",29,34,20,9,3,0,0,4,1,4,5,8,4,27,26
"DZA",2023,"Algeria","Middle East & North Africa","Lower middle income",14,17,11,3,1,0,0,3,0,4,3,2,1,12,12
"ECU",2023,"Ecuador","Latin America & Caribbean","Upper middle income",26,32,20,6,2,0,0,4,1,4,4,7,4,25,25
"EGY",2023,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",24,29,20,4,2,0,0,3,1,4,4,6,4,23,23
"ERI",2023,"Eritrea","Sub-Saharan Africa","Low income",6,10,4,2,0,0,0,1,0,2,2,1,0,6,5
"ESP",2023,"Spain","Europe & Central Asia","High income",21,26,16,5,3,0,0,3,0,3,4,4,4,21,21
"EST",2023,"Estonia","Europe & Central Asia","High income",23,28,17,6,3,0,0,4,0,4,4,5,3,23,23
"ETH",2023,"Ethiopia","Sub-Saharan Africa","Low income",22,25,15,7,1,0,0,2,2,4,3,7,3,22,21
"FIN",2023,"Finland","Europe & Central Asia","High income",25,30,17,8,3,0,0,4,0,3,4,7,4,25,25
